"area","coverage_status","ready_for_final_report","use_in_final_report","residual_gap","next_action","primary_artifacts"
"whole folder manifest","170 files inventoried: 91 PDFs, 41 MP4s, 34 JPGs, 4 PNGs, about 4.24 GB","yes","Scope and corpus population statement","Does not equal deep review of every page/frame","Use manifest counts in methods section","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-file-manifest.csv; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-file-analysis-thread.md"
"duplicate/media inventory","Same-size candidates hashed; MP4 review set reduced from 41 files to 28 unique videos","yes","Explain duplicate handling and media sampling","Only duplicate candidates were hashed, not every file in full corpus","Use duplicate method caveat","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-targeted-duplicate-summary.csv; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-dedupe-summary.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-unique-video-review-list.csv"
"modern DoW/DoD PDFs","High-value mission reports and range-fouler reports reviewed; priority lanes packeted","yes","Primary evidentiary basis","Not every modern file has a standalone packet","Use evidence ladder and priority digest","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-evidence-ladder.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-priority-incidents.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-modern-event-timeline.md"
"report/video correlation","DVIDS/War.gov release-index reconciliation performed; hard pairings and label mismatches documented","yes","Provenance backbone","Some public releases still lack D-report pairings","Use matrix as source identity control","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-report-video-correlation-matrix.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-report-video-correlation-matrix.csv"
"public video analysis","Contact sheets for unique videos; dense/manual/phase reviews for top clips","yes for selected clips","Image-plane and visual-sequence claims only","Not full optical analysis of every unique video","Limit claims to reviewed clips","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-contact-sheet-notes.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-d38-anchor-notes.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-pr34-d33-manual-track-notes.md"
"D38/PR36 anchor","Hard report/video pair plus dense/manual validation","yes","Calibration anchor","No public raw telemetry, FOV, platform motion, slant range, or gimbal data","Use as strongest hard anchor with caveats","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-d38-anchor-notes.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-d38-geometry-feasibility.md"
"Greece/Eastern Mediterranean lanes","D25, D33, D35, D54 reviewed; PR28/PR34/PR35 video relationships handled","yes","Strong report/video and document-only section","Reported speeds/shapes remain report-derived where telemetry absent","Use D25/D33/D35/D54 reviews","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d25-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d33-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d35-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d54-source-review.md"
"UAE/Gulf of Aden/Arabian Sea lanes","D23, D27, D44, D56, D57, D58, D75 reviewed in focused packets or ladder rows","yes","Source-request and geometry/context section","Several cases lack hard video pairing or have redacted free text","Use D27/D58/D75 and range-fouler packets","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d27-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d58-evidence-packet.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-range-fouler-cluster-packet.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d75-source-review.md"
"D28 weapons-context report","Source review, release-index search, and evidence packet complete","yes","Top document-only source-request case","No public raw imagery, weapon timing, FOV, range, speed, altitude, or trajectory","Use as document-only high-value case","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d28-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d28-release-index-search.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d28-evidence-packet.md"
"D74 later Syria narrative","Source review complete","yes","Readable later mission-report narrative","No hard video pairing; speed and shape are report-derived","Use below D28 and D58 in document-only discussion","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d74-source-review.md"
